numberThread numberMessages shift timePrecessingRing throughputRing latencyChain
79 10000057 5 4202.634657746833 2379473.3100500703 1568.7100639857015
80 10000000 5 4221.531852425001 2368808.373258072 1707.1420394710253
80 10000000 5 3781.609314262501 2644376.816580331 1226.600555769391
80 10000000 5 4255.965027649998 2349643.367610487 1646.7292039095573
80 10000000 5 4367.799495124998 2289482.383786442 1697.022067559634
81 10000017 5 4316.4071154938265 2316745.555372834 1890.9170632501332
81 10000017 5 4052.509122765432 2467611.2248147116 1208.91702201249
81 10000017 5 4246.277818543212 2355007.7096535214 1863.8177620934134
81 10000017 5 4217.083324419752 2371311.219319089 1346.0155539107539
82 10000064 5 4240.27751871951 2358351.300322401 1374.1575751915664
82 10000064 5 3933.602290036587 2542215.3188514104 1119.0126553165353
82 10000064 5 4263.144011024388 2345701.663875317 1540.0893643742615
82 10000064 5 4373.056516890243 2286744.7428077655 1703.7677079786395
83 10000006 5 4271.412433783133 2341147.3733860743 1188.051241313539
83 10000006 5 4254.879405325301 2350244.2836533138 1854.8477913505515
83 10000006 5 4154.402625325301 2407086.385667054 1533.8123352632674
83 10000006 5 4173.564217975903 2396035.014132311 1402.788783055501
84 10000032 5 4359.653634630951 2293767.5416607982 1740.5010885768843
84 10000032 5 4229.154805619049 2364546.217772284 1079.562230966226
84 10000032 5 4262.759417654762 2345905.7901751604 1818.1671143929625
84 10000032 5 4216.494729202382 2371645.796386817 1644.4000190622573
85 10000080 5 3916.0704852705876 2553600.615109722 992.3238171000281
85 10000080 5 4291.021582729411 2330466.022414923 1893.447091134768
85 10000080 5 4252.161804411764 2351763.7521753227 1854.7020989245268
85 10000080 5 4117.339377235295 2428772.3415005053 1278.923766159376
86 10000080 5 4085.2144373139545 2447871.501838492 1363.9207830839268
86 10000080 5 4356.40574927907 2295488.660957462 1816.225869885092
86 10000080 5 4136.677819151163 2417418.1401567296 1509.827356507443
86 10000080 5 4469.569003418605 2237370.0892303744 1650.853290893383
87 10000041 5 4135.270031011494 2418231.681367123 1668.7624651942317
87 10000041 5 4220.855802425286 2369197.4964541593 1354.354788250811
87 10000041 5 4097.646128356324 2440435.4809455657 1116.8321485218048
87 10000041 5 4361.60078116092 2292745.600008423 1422.6273415483345
88 10000056 5 4537.289171136364 2203971.4954944095 1873.2751463577038
88 10000056 5 4116.328466568183 2429362.9823805406 1363.852855278494
88 10000056 5 3572.0854836136355 2799500.752676172 1172.0118093318872
88 10000056 5 4438.158651454547 2253199.307492673 1796.1879055345405
89 10000040 5 4246.820599101122 2354712.1350302855 1825.4112052519663
89 10000040 5 4147.173744651685 2411290.3427054 1173.6907799544028
89 10000040 5 4430.844195202246 2256915.287345947 1621.2429503899414
89 10000040 5 4357.2246366741565 2295048.071616746 1872.4872438958414
90 10000080 5 4218.841959722222 2370337.665044563 931.5597756825317
90 10000080 5 4051.4031904444446 2468300.371482646 1189.4930022493545
90 10000080 5 4481.353133399998 2231486.7189261094 1765.4490970639274
90 10000080 5 4251.397882566667 2352186.334054135 1195.6433001132496
91 10000081 5 4354.65090163736 2296413.932111055 1713.1413487422897
91 10000081 5 4538.932898241756 2203178.8581571067 1871.7263840611424
91 10000081 5 4137.354054956043 2417023.263460165 1294.1892778601825
91 10000081 5 4056.0808009230764 2465454.0899984534 1025.3413910170027
92 10000032 5 4181.981269 2391218.7446002644 1675.2443593425016
92 10000032 5 3840.209761326086 2604032.753811559 1006.7032789020553
92 10000032 5 4010.22617727174 2493632.916935194 1310.7118508935896
92 10000032 5 4491.55330495652 2226408.3983963323 1350.3394899195653
93 10000011 5 3864.7436943655916 2587496.5562603837 1101.1044283112822
93 10000011 5 4095.156545666667 2441911.7776050875 1321.0322358666313
93 10000011 5 4367.174324215053 2289812.647173726 1805.6484998827518
93 10000011 5 4252.850371086022 2351366.7605113424 1184.1629287463843
94 10000002 5 4422.7223481808505 2261051.2740220265 1821.2477204727127
94 10000002 5 4328.30312274468 2310374.693364535 1775.7317896696488
94 10000002 5 4291.297562946807 2330297.970093004 1608.7536665499083
94 10000002 5 3635.0473834893633 2750996.3268761504 1131.0177600172885
95 10000080 5 4370.795628599999 2287931.271497841 1707.185474732621
95 10000080 5 4146.110861494736 2411918.140653581 1218.3088799460854
95 10000080 5 4373.401148810529 2286568.2016660664 1794.3664843681975
95 10000080 5 3813.9397635999994 2621981.630501911 1162.7694741296646
96 10000032 5 4164.374602645835 2401328.6397545696 1317.0654924641474
96 10000032 5 4138.196435291667 2416519.408000307 1277.2571970036784
96 10000032 5 4247.6247600000015 2354264.4572021933 1498.992363887259
96 10000032 5 3619.453740802086 2762856.6949950717 921.3951564807122
97 10000021 5 4136.717370226807 2417380.764751574 1378.3521626053957
97 10000021 5 4025.286222247423 2484300.605688786 1178.2093298179066
97 10000021 5 4422.732438175259 2261050.4116604063 1334.4228144368517
97 10000021 5 4518.761276948455 2213000.5076862727 1237.033503884678
98 10000018 5 4050.767133040818 2468672.6418887516 1494.6544017582135
98 10000018 5 3870.1047954285696 2583914.0097219544 1204.6452536297684
98 10000018 5 3422.2460316428583 2922062.85215545 1065.6185164138167
98 10000018 5 3504.7463475 2853278.6708325404 1024.365510180018
99 10000089 5 4112.34573890909 2431723.7982652676 1554.7071419686333
99 10000089 5 4388.762953 2278566.672908205 1972.5167879567193
99 10000089 5 4236.700742434344 2360348.2067638556 1811.2409523076587
99 10000089 5 4072.8644278787897 2455296.3097787667 1749.4181278129452
100 10000000 5 4091.1403997000016 2444306.238117198 1355.4082823710214
100 10000000 5 4150.0691638499975 2409598.3958790344 1490.8887508493353
100 10000000 5 4227.678589139999 2365364.298432681 1323.114582003394
100 10000000 5 3965.6758078799994 2521638.2993611055 1371.5573724491205
